series,"01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023"
United States,301400,291017,337978,339499,370620,346848,357764,352125,350934,350657,308672,395023,343210,309337,347464,357475,387293,354322,369541,369745,362999,366808,321841,368964
United States Clearances,126611,122134,142972,138920,151094,142774,146577,148631,143264,142367,129563,167794,147217,131880,148721,147880,159981,147970,153099,156446,149980,152398,137339,158671
